seed,model,instance,makespan,runtime
0,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.7997918128967285
1,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1360330581665039
2,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.12802791595458984
3,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,107.0,0.13716626167297363
4,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1324610710144043
5,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,107.0,0.14888715744018555
6,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,106.0,0.13405108451843262
7,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,114.0,0.13059473037719727
8,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,114.0,0.12712311744689941
9,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1331009864807129
0,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,184.0,0.3051908016204834
1,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,174.0,0.30010080337524414
2,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2985196113586426
3,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2961108684539795
4,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.3271148204803467
5,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,171.0,0.33883094787597656
6,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2983429431915283
7,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,168.0,0.3017420768737793
8,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,170.0,0.32441186904907227
9,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,165.0,0.29930806159973145
0,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,288.0,1.307476282119751
1,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,284.0,1.3430678844451904
2,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,297.0,1.2606017589569092
3,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,295.0,1.2916882038116455
4,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,290.0,1.266066074371338
5,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,289.0,1.2661490440368652
6,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,286.0,1.259119987487793
7,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,288.0,1.3125288486480713
8,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,295.0,1.2884302139282227
9,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,292.0,1.2453348636627197
0,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,283.0,1.2565228939056396
1,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,277.0,1.2860682010650635
2,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,274.0,1.2631340026855469
3,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,276.0,1.2279338836669922
4,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,279.0,1.261329174041748
5,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,282.0,1.237617015838623
6,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,283.0,1.147447109222412
7,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,282.0,1.1517009735107422
8,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,287.0,1.333845853805542
9,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,272.0,1.3018150329589844
0,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,292.0,1.287755012512207
1,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,291.0,1.4527251720428467
2,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,297.0,1.4336979389190674
3,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,297.0,1.2978870868682861
4,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,293.0,1.3475558757781982
5,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,296.0,1.3135662078857422
6,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,298.0,1.2849211692810059
7,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,288.0,1.2689621448516846
8,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,292.0,1.261850118637085
9,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,306.0,1.2727820873260498
0,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,287.0,1.2688939571380615
1,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,294.0,1.3003818988800049
2,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,288.0,1.2749388217926025
3,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,291.0,1.2636070251464844
4,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,297.0,1.2556788921356201
5,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,292.0,1.319756031036377
6,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,293.0,1.340320110321045
7,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,294.0,1.2878718376159668
8,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,287.0,1.2881460189819336
9,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,291.0,1.2432098388671875
0,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,273.0,1.2140240669250488
1,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,273.0,1.1900017261505127
2,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,277.0,1.126033067703247
3,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,275.0,1.147575855255127
4,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,275.0,1.0402100086212158
5,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,281.0,1.2573661804199219
6,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,278.0,1.2923378944396973
7,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,282.0,1.2564218044281006
8,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,276.0,1.2805461883544922
9,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,276.0,1.2648289203643799
0,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,491.0,5.840301036834717
1,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,499.0,5.727025985717773
2,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,507.0,5.973617315292358
3,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,497.0,5.803418874740601
4,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,510.0,5.302802324295044
5,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,495.0,5.613827705383301
6,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,510.0,5.857728958129883
7,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,504.0,5.6990368366241455
8,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,496.0,5.88503098487854
9,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,498.0,5.603952884674072
0,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,499.0,5.640804052352905
1,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,495.0,6.00820517539978
2,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,489.0,5.88834810256958
3,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,488.0,5.998226881027222
4,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,491.0,6.075392007827759
5,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,495.0,6.053218126296997
6,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,487.0,5.83599591255188
7,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,491.0,6.054324150085449
8,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,482.0,6.089117050170898
9,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,489.0,5.807748794555664
0,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,505.0,6.104568004608154
1,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,525.0,5.734124183654785
2,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,507.0,5.538277864456177
3,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,510.0,5.77144193649292
4,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,507.0,5.987911939620972
5,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,510.0,6.179119825363159
6,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,512.0,6.154669761657715
7,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,498.0,5.774988174438477
8,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,513.0,5.6319990158081055
9,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,497.0,5.735267877578735
0,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,494.0,5.888705015182495
1,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,506.0,5.921903133392334
2,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,499.0,5.846444129943848
3,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,495.0,5.496061086654663
4,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,504.0,5.908180236816406
5,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,503.0,6.197527885437012
6,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,492.0,6.093486070632935
7,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,489.0,6.375513076782227
8,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,503.0,6.0280420780181885
9,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,495.0,5.688385009765625
0,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.14755630493164062
1,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.1469278335571289
2,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,110.0,0.14921092987060547
3,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,110.0,0.14690780639648438
4,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.14943885803222656
5,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.17143011093139648
6,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.14918923377990723
7,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.1471879482269287
8,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.15009617805480957
9,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.15359210968017578
0,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,488.0,6.15970516204834
1,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,494.0,6.2557830810546875
2,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,487.0,6.352775812149048
3,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,493.0,6.19635796546936
4,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,499.0,5.788254022598267
5,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,491.0,5.7133400440216064
6,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,493.0,5.875578880310059
7,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,501.0,5.787461757659912
8,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,495.0,5.792756795883179
9,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,493.0,5.783555269241333
0,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,103.0,0.14866209030151367
1,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,102.0,0.14961600303649902
2,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,103.0,0.15973496437072754
3,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,105.0,0.1438732147216797
4,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,103.0,0.14073991775512695
5,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,102.0,0.148726224899292
6,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,102.0,0.1573798656463623
7,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,103.0,0.15759015083312988
8,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,105.0,0.15856218338012695
9,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,105.0,0.15612077713012695
0,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.1580660343170166
1,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.150252103805542
2,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.14827704429626465
3,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.1572561264038086
4,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.15322494506835938
5,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.14229679107666016
6,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.15285706520080566
7,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.15626788139343262
8,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.15607190132141113
9,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.16165781021118164
0,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.14761924743652344
1,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,106.0,0.14839386940002441
2,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.15698981285095215
3,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,106.0,0.1502678394317627
4,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.14917969703674316
5,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,106.0,0.1493687629699707
6,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.14083385467529297
7,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,106.0,0.14708590507507324
8,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.14948391914367676
9,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,107.0,0.15290307998657227
0,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15977025032043457
1,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15648508071899414
2,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15771198272705078
3,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.17810916900634766
4,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.14665007591247559
5,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15384507179260254
6,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15438318252563477
7,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.15208983421325684
8,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.14038515090942383
9,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.1555318832397461
0,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,96.0,0.15452075004577637
1,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,101.0,0.1532127857208252
2,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,96.0,0.17377281188964844
3,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,98.0,0.1537477970123291
4,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,101.0,0.15279793739318848
5,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,96.0,0.15018200874328613
6,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,98.0,0.15205693244934082
7,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,98.0,0.15012407302856445
8,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,98.0,0.15328383445739746
9,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,96.0,0.1387171745300293
0,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,148.0,0.3436877727508545
1,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,150.0,0.3319051265716553
2,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,156.0,0.3431589603424072
3,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,149.0,0.34596991539001465
4,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,143.0,0.34055018424987793
5,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,147.0,0.3397049903869629
6,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,151.0,0.33400797843933105
7,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,139.0,0.3361241817474365
8,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,140.0,0.33566999435424805
9,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,137.0,0.32149720191955566
0,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,151.0,0.3165452480316162
1,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,158.0,0.33954381942749023
2,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,158.0,0.33634495735168457
3,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,148.0,0.33053016662597656
4,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,156.0,0.33505773544311523
5,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,153.0,0.3268859386444092
6,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,148.0,0.33214712142944336
7,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,151.0,0.3261377811431885
8,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,148.0,0.33832406997680664
9,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,146.0,0.3394758701324463
0,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,133.0,0.3327512741088867
1,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,146.0,0.33597588539123535
2,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,140.0,0.34049105644226074
3,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,142.0,0.3386046886444092
4,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,132.0,0.33554601669311523
5,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,139.0,0.33345890045166016
6,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,140.0,0.3241720199584961
7,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,136.0,0.3377690315246582
8,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,141.0,0.33821821212768555
9,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,134.0,0.33722591400146484
0,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,138.0,0.3364682197570801
1,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,146.0,0.325300931930542
2,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,147.0,0.331312894821167
3,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,159.0,0.3417370319366455
4,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,137.0,0.34398674964904785
5,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,159.0,0.3548457622528076
6,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,149.0,0.3480799198150635
7,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,159.0,0.3311610221862793
8,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,158.0,0.32925891876220703
9,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,155.0,0.3401908874511719
0,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12865805625915527
1,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12884211540222168
2,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.13077187538146973
3,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12797808647155762
4,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12917280197143555
5,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.11704516410827637
6,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12814879417419434
7,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.1277599334716797
8,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12592101097106934
9,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.12775516510009766
0,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,139.0,0.332690954208374
1,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,142.0,0.33051085472106934
2,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,145.0,0.33314085006713867
3,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,147.0,0.3181750774383545
4,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,145.0,0.33109140396118164
5,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,148.0,0.33289504051208496
6,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,151.0,0.34403300285339355
7,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,138.0,0.3427448272705078
8,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,159.0,0.3319401741027832
9,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,141.0,0.3331639766693115
0,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,280.0,1.3969459533691406
1,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,284.0,1.3351490497589111
2,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,284.0,1.3767669200897217
3,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,276.0,1.3541209697723389
4,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,284.0,1.3622119426727295
5,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,282.0,1.36604905128479
6,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,272.0,1.3323001861572266
7,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,280.0,1.3687498569488525
8,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,285.0,1.3669679164886475
9,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,283.0,1.4016010761260986
0,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,268.0,1.3582549095153809
1,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,269.0,1.2957971096038818
2,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,272.0,1.3236818313598633
3,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,269.0,1.244109869003296
4,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,274.0,1.207111120223999
5,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,274.0,1.1973109245300293
6,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,283.0,1.1866302490234375
7,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,266.0,1.2016232013702393
8,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,268.0,1.258613109588623
9,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,284.0,1.2149689197540283
0,saved_network/FJSP_J15M15/best_value0,Behnke33.fjs,269.0,1.1630229949951172
1,saved_network/FJSP_J15M15/best_value0,Behnke33.fjs,268.0,1.2326469421386719
2,saved_network/FJSP_J15M15/best_value0,Behnke33.fjs,272.0,1.1762378215789795
3,saved_network/FJSP_J15M15/best_value0,Behnke33.fjs,264.0,1.1702358722686768
