Category,Model,index,makespan,runtime,gap
large,EDD,mean,5770.427884615385,8.127584724108452,0.29986941361771785
large,EDD,std,1896.4749895737077,7.103048588678024,0.0913151161739409
large,FIFO,mean,5658.781196581196,4.9935849365855205,0.2769226289032534
large,FIFO,std,2470.630735144438,5.669198483440693,0.178917460323541
large,LOR,mean,5903.6447811447815,3.255719799786706,0.35357938309075676
large,LOR,std,2169.7839775786906,3.696550354103644,0.08875274944548914
large,LPT,mean,6045.313131313132,3.8426583906532144,0.41895661627807
large,LPT,std,2384.6744447446727,4.195348105609067,0.11164042840368966
large,LRPT,mean,5392.345360824742,4.995938291576699,0.19153593122847576
large,LRPT,std,2231.5942718374095,4.8558817252022815,0.1340072664124946
large,LS,mean,5232.016666666666,4.761308089871334,0.23763481081927348
large,LS,std,1929.5452647168847,4.717644768740393,0.10459872565083507
large,MOR,mean,5659.059033989267,3.828644226416028,0.2550796240962844
large,MOR,std,2484.416157462784,4.1789341079563584,0.19906334969304829
large,SPT,mean,5167.161538461539,3.7140585539857107,0.22162501944833024
large,SPT,std,1938.985611896627,4.196308032188974,0.07182959709503926
large,SRPT,mean,6019.010471204188,4.86150664149399,0.3521003059662812
large,SRPT,std,2038.4756895121122,4.584166331899214,0.08548759147470424
large,end_to_end_drl_for_fjsp,mean,5634.953846153846,10.899904815696042,0.2803841598868347
large,end_to_end_drl_for_fjsp,std,2449.3056850745643,11.956953618318638,0.18145385217661306
large,fjsp_drl,mean,5271.41,49.13245898072189,0.1951823337299813
large,fjsp_drl,std,2265.428649310558,65.9930485969385,0.15361093324009337
large,ieee_icce_rl_jsp,mean,5219.256880733945,16.262344032986956,0.17896402770365546
large,ieee_icce_rl_jsp,std,2078.9110375618175,14.2944515923161,0.12818172225430235
large,l2d,mean,5702.763060468943,4.451869444280478,0.2776775221397905
large,l2d,std,2369.03870239939,3.992876565258969,0.18614665901971736
large,wheatley,mean,8213.337016574586,32.336869415035,0.7907066366398712
large,wheatley,std,4770.036444329673,42.37338387096956,0.5936419545111533
medium,EDD,mean,3856.0204081632655,0.7491878703464767,0.43675979664465003
medium,EDD,std,2165.0761980057687,0.6243313333665965,0.11119874842474245
medium,FIFO,mean,3703.4126365054603,0.7000502560924694,0.3311751081699216
medium,FIFO,std,2165.3200647025974,0.6072448805361269,0.11295113913182654
medium,LOR,mean,3893.7445034116754,0.474755269456217,0.4418734676819697
medium,LOR,std,2089.0073288049875,0.4010977933028517,0.10737553768309481
medium,LPT,mean,4423.5505882352945,0.6968472172898503,0.4800072865190944
medium,LPT,std,2468.173680837541,0.5125795412124761,0.10618495036329224
medium,LRPT,mean,3729.161572052402,0.5970012823600306,0.2665348621299642
medium,LRPT,std,2317.4482062588268,0.493684887365191,0.10537347740236704
medium,LS,mean,3691.597285067873,0.5214583075532141,0.335713980888384
medium,LS,std,2072.6267580036197,0.44194265938882465,0.08808781791868822
medium,MOR,mean,3595.6587864460207,0.531424772121111,0.2840615083531549
medium,MOR,std,2140.416362038499,0.45963243589965364,0.12217454690733738
medium,SPT,mean,3693.5757575757575,0.5980330100429846,0.30419011013853564
medium,SPT,std,2159.5588741973893,0.4656427185255737,0.08094739819942505
medium,SRPT,mean,3874.8863636363635,0.46382642887448056,0.45598349492653123
medium,SRPT,std,2139.6652791997603,0.38794791227730924,0.11194275099264715
medium,end_to_end_drl_for_fjsp,mean,3519.601226993865,1.7391928827037668,0.32569166187048737
medium,end_to_end_drl_for_fjsp,std,2218.560893634411,1.1431071897343301,0.11654507714592476
medium,fjsp_drl,mean,3434.254135338346,7.6872277653728265,0.24639758043368432
medium,fjsp_drl,std,2039.6546815469812,5.220077101308149,0.10797934950312059
medium,ieee_icce_rl_jsp,mean,3875.2649769585255,3.73565826243353,0.24333745016029362
medium,ieee_icce_rl_jsp,std,2245.8183217610667,2.1644528644880343,0.09230653512948644
medium,l2d,mean,4106.810432074737,1.1000882446510174,0.347457028133641
medium,l2d,std,2295.5571211300494,0.5441554669727902,0.11909373396219326
medium,wheatley,mean,4023.5575,5.023887133971732,0.42615328396550617
medium,wheatley,std,2597.9619295058296,3.5551837559245114,0.18011948745053127
small,EDD,mean,1319.0588235294117,0.05850065933529176,0.3531215363623211
small,EDD,std,382.43553243728314,0.04963985987940429,0.1328930124784205
small,FIFO,mean,1235.9727047146403,0.05975666119148814,0.246046374984569
small,FIFO,std,314.9532015293885,0.046159960947242965,0.09259640546300205
small,LOR,mean,1357.7571115973742,0.04488767712417086,0.36307384353194455
small,LOR,std,371.95219356377237,0.036008340973229774,0.1232729387332976
small,LPT,mean,1347.0875,0.06291252254199231,0.35932383506244925
small,LPT,std,438.57976177282603,0.04957030195613878,0.10030039439277247
small,LRPT,mean,1135.017857142857,0.0463305656392184,0.16892671346690147
small,LRPT,std,305.1922488632923,0.036218358306865255,0.07790555194946659
small,LS,mean,1262.7894736842106,0.04215883077786605,0.30573841109491395
small,LS,std,337.66957310587486,0.03481473457752916,0.13633304813124916
small,MOR,mean,1203.2142857142858,0.051297347995429315,0.2004013359781059
small,MOR,std,288.9989252454837,0.03660489921339726,0.0777894835220196
small,SPT,mean,1269.9577464788733,0.05624146881259976,0.238384207922271
small,SPT,std,328.5632114272998,0.038700819024644936,0.10263073223568768
small,SRPT,mean,1342.3207547169811,0.04685419186473675,0.3886218789993033
small,SRPT,std,432.02794485759944,0.034978712630478435,0.11348790372886633
small,end_to_end_drl_for_fjsp,mean,1226.0566037735848,0.35854462877471,0.24243507222652272
small,end_to_end_drl_for_fjsp,std,309.33945849269134,0.20274122173461198,0.09309866319583716
small,fjsp_drl,mean,1149.2041666666667,1.137417102717799,0.16228643287287176
small,fjsp_drl,std,299.4192495679844,0.9003882407648042,0.08364012015839603
small,ieee_icce_rl_jsp,mean,1130.6898954703834,0.5829301421457709,0.1568998146182286
small,ieee_icce_rl_jsp,std,303.8299660240656,0.2886769173869205,0.07241500189437954
small,l2d,mean,1228.309719934102,0.25638974371258116,0.2544116261385626
small,l2d,std,360.6239499647871,0.14037689653699903,0.11003204806012017
small,wheatley,mean,1227.904761904762,0.8862711924961422,0.2600494788812704
small,wheatley,std,345.4766675969324,0.5572561235295933,0.1059980341148523
